timestamp,timer_running,timer_value,session_type
2026-01-31T11:24:10.580Z,false,00:00,unknown
2026-01-31T11:43:07.228Z,false,00:00,unknown
2026-01-31T11:56:04.728Z,false,00:00,unknown
2026-01-31T12:58:40.323Z,false,00:00,unknown
2026-01-31T13:47:06.039Z,false,00:00,unknown
2026-01-31T14:11:48.973Z,false,00:00,unknown
2026-01-31T14:43:57.150Z,false,00:00,unknown
2026-01-31T15:00:05.664Z,false,00:00,unknown
2026-01-31T15:34:16.153Z,false,00:00,unknown
2026-01-31T15:52:57.609Z,false,00:00,unknown
2026-01-31T16:22:39.898Z,false,00:00,unknown
2026-01-31T16:52:59.657Z,false,00:00,unknown
2026-01-31T17:21:06.474Z,false,00:00,unknown
2026-01-31T17:45:51.605Z,false,00:00,unknown
2026-01-31T17:59:29.259Z,false,00:00,unknown
2026-01-31T18:47:51.623Z,false,00:00,unknown
2026-01-31T19:10:55.930Z,false,00:00,unknown
2026-01-31T19:34:18.777Z,false,00:00,unknown
2026-01-31T19:48:55.053Z,false,00:00,unknown
2026-01-31T20:00:40.174Z,false,00:00,unknown
2026-01-31T20:36:44.438Z,false,00:00,unknown
2026-01-31T20:55:20.966Z,false,00:00,unknown
2026-01-31T21:25:27.453Z,false,00:00,unknown
2026-01-31T21:45:55.352Z,false,00:00,unknown
2026-01-31T21:58:24.024Z,false,00:00,unknown
2026-01-31T22:33:21.425Z,false,00:00,unknown
2026-01-31T22:53:55.841Z,false,00:00,unknown
2026-01-31T23:21:28.962Z,false,00:00,unknown
2026-01-31T23:43:14.049Z,false,00:00,unknown
2026-01-31T23:58:01.221Z,false,00:00,unknown
2026-02-01T03:23:33.422Z,false,00:00,unknown
2026-02-01T05:11:57.607Z,false,00:00,unknown
2026-02-01T06:09:06.678Z,false,00:00,unknown
2026-02-01T07:05:57.436Z,false,00:00,unknown
2026-02-01T07:47:58.802Z,false,00:00,unknown
2026-02-01T08:16:37.068Z,false,00:00,unknown
2026-02-01T08:51:45.402Z,false,00:00,unknown
2026-02-01T09:24:18.913Z,false,00:00,unknown
2026-02-01T09:53:15.102Z,false,00:00,unknown
2026-02-01T10:22:37.302Z,false,00:00,unknown
2026-02-01T10:52:24.253Z,false,00:00,unknown
2026-02-01T11:17:39.294Z,false,00:00,unknown
2026-02-01T11:40:23.772Z,false,00:00,unknown
2026-02-01T11:55:02.031Z,false,00:00,unknown
2026-02-01T12:54:58.275Z,false,00:00,unknown
2026-02-01T13:45:00.277Z,false,00:00,unknown
2026-02-01T14:13:33.712Z,false,00:00,unknown
2026-02-01T14:46:53.507Z,false,00:00,unknown
2026-02-01T15:11:40.578Z,false,00:00,unknown
2026-02-01T15:42:51.015Z,false,00:00,unknown
2026-02-01T15:59:38.975Z,false,00:00,unknown
2026-02-01T16:42:26.182Z,false,00:00,unknown
2026-02-01T17:02:49.466Z,false,00:00,unknown
2026-02-01T17:37:51.196Z,false,00:00,unknown
2026-02-01T17:57:04.980Z,false,00:00,unknown
2026-02-01T18:48:11.939Z,false,00:00,unknown
2026-02-01T19:14:27.482Z,false,00:00,unknown
2026-02-01T19:39:58.583Z,false,00:00,unknown
2026-02-01T19:54:51.505Z,false,00:00,unknown
2026-02-01T20:29:18.752Z,false,00:00,unknown
2026-02-01T20:54:08.496Z,false,00:00,unknown
2026-02-01T21:23:23.403Z,false,00:00,unknown
2026-02-01T21:45:25.134Z,false,00:00,unknown
2026-02-01T21:58:30.975Z,false,00:00,unknown
2026-02-01T22:36:00.862Z,false,00:00,unknown
2026-02-01T22:57:41.252Z,false,00:00,unknown
2026-02-01T23:34:12.504Z,false,00:00,unknown
2026-02-01T23:55:00.956Z,false,00:00,unknown
2026-02-02T02:27:32.233Z,false,00:00,unknown
2026-02-02T04:36:31.679Z,false,00:00,unknown
2026-02-02T05:49:58.480Z,false,00:00,unknown
2026-02-02T06:48:54.526Z,false,00:00,unknown
2026-02-02T07:41:07.347Z,false,00:00,unknown
2026-02-02T08:26:24.638Z,false,00:00,unknown
2026-02-02T09:10:40.429Z,false,00:00,unknown
2026-02-02T10:08:08.731Z,false,00:00,unknown
2026-02-02T11:06:35.750Z,false,00:00,unknown
2026-02-02T11:49:32.527Z,false,00:00,unknown
2026-02-02T12:28:38.696Z,true,01:44,unknown
2026-02-02T13:44:17.708Z,true,18:13,unknown
2026-02-02T14:29:39.215Z,true,07:56,work
2026-02-02T15:22:25.168Z,true,16:19,work
2026-02-02T15:57:12.542Z,true,09:10,work
2026-02-02T16:52:55.316Z,true,14:40,work
2026-02-02T17:35:11.730Z,true,03:33,work
2026-02-02T18:07:17.889Z,true,04:13,unknown
2026-02-02T23:05:19.002Z,true,18:59,work
2026-02-02T23:38:40.109Z,false,00:00,unknown
2026-02-02T23:59:34.213Z,false,00:00,unknown
2026-02-03T02:52:36.207Z,false,00:00,unknown
2026-02-03T04:43:49.056Z,false,00:00,unknown
2026-02-03T05:40:18.104Z,false,00:00,unknown
2026-02-03T06:32:41.613Z,false,00:00,unknown
2026-02-03T07:29:16.526Z,false,00:00,unknown
2026-02-03T08:03:38.717Z,false,00:00,unknown
2026-02-03T08:54:41.189Z,false,00:00,unknown
2026-02-03T09:43:09.772Z,false,00:00,unknown
